Machine,OS,GCC,ADMB,Test,Runtime
P15 Gen 1,Windows 10 (native),10.3 (rtools 4.2),12.3,vol,41.6
P15 Gen 1,Windows 10 (native),10.3 (rtools 4.2),13.0-beta,vol,75.4
P15 Gen 1,Ubuntu 20.04 (WSL),9.4,12.3,vol,21.7
P15 Gen 1,Ubuntu 20.04 (WSL),9.4,13.0-beta,vol,27.2
P15 Gen 1,Kubuntu 22.04 (VMware),11.2,12.3,vol,22.2
P15 Gen 1,Kubuntu 22.04 (VMware),11.2,13.0-beta,vol,27.9
P15 Gen 1,Windows 10 (native),10.3 (rtools 4.2),12.3,catage,49.9
P15 Gen 1,Windows 10 (native),10.3 (rtools 4.2),13.0-beta,catage,129.9
P15 Gen 1,Ubuntu 20.04 (WSL),9.4,12.3,catage,32.8
P15 Gen 1,Ubuntu 20.04 (WSL),9.4,13.0-beta,catage,42.9
P15 Gen 1,Kubuntu 22.04 (VMware),11.2,12.3,catage,31.4
P15 Gen 1,Kubuntu 22.04 (VMware),11.2,13.0-beta,catage,42.0
Precision 3560,Windows 11 (native),10.3 (rtools 4.2),12.3,vol,42.8
Precision 3560,Windows 11 (native),10.3 (rtools 4.2),13.0-beta,vol,158.6
Precision 3560,Ubuntu 20.04 (WSL),9.4,12.3,vol,20.1
Precision 3560,Ubuntu 20.04 (WSL),9.4,13.0-beta,vol,24.1
Precision 3560,Windows 11 (native),10.3 (rtools 4.2),12.3,catage,58.7
Precision 3560,Windows 11 (native),10.3 (rtools 4.2),13.0-beta,catage,132.46
Precision 3560,Ubuntu 20.04 (WSL),9.4,12.3,catage,26.0
Precision 3560,Ubuntu 20.04 (WSL),9.4,13.0-beta,catage,35.3
